iter	Passed	Remaining
713	71059	78224
714	71164	78131
715	71243	78009
716	71330	77896
717	71436	77803
718	71539	77708
719	71642	77612
720	71741	77512
721	71846	77419
722	71954	77328
723	72044	77218
724	72143	77118
725	72239	77016
726	72338	76915
727	72441	76819
728	72543	76723
729	72645	76626
730	72739	76521
731	72836	76418
732	72944	76328
733	73052	76237
734	73150	76136
735	73246	76033
736	73333	75920
737	73437	75825
738	73530	75719
739	73634	75625
740	73728	75519
741	73825	75417
742	73932	75325
743	74040	75234
744	74143	75138
745	74225	75021
746	74329	74926
747	74439	74837
748	74537	74736
749	74630	74630
750	74736	74537
751	74840	74442
752	74931	74333
753	75018	74222
754	75118	74123
755	75213	74019
756	75299	73907
757	75387	73796
758	75484	73694
759	75585	73596
760	75689	73501
761	75798	73410
762	75904	73317
763	75993	73208
764	76089	73105
765	76181	72998
766	76269	72888
767	76367	72787
768	76460	72682
769	76563	72586
770	76669	72492
771	76764	72389
772	76874	72299
773	76963	72190
774	77044	72074
775	77138	71969
776	77231	71864
777	77339	71772
778	77434	71669
779	77538	71573
780	77650	71486
781	77752	71389
782	77847	71285
783	77930	71171
784	78022	71065
785	78114	70959
786	78207	70853
787	78294	70743
788	78396	70645
789	78493	70545
790	78580	70434
791	78686	70340
792	78798	70252
793	78903	70158
794	78999	70056
795	79095	69953
796	79178	69840
797	79268	69732
798	79352	69619
799	79436	69506
800	79535	69407
801	79627	69301
802	79744	69218
803	79852	69125
804	79967	69040
805	80058	68933
806	80157	68834
807	80266	68743
808	80350	68630
809	80433	68517
810	80531	68417
811	80624	68312
812	80716	68206
813	80815	68107
814	80906	68001
815	81002	67898
816	81103	67801
817	81197	67697
818	81295	67597
819	81388	67492
820	81483	67389
821	81582	67290
822	81683	67192
823	81747	67064
824	81842	66962
825	81944	66865
826	82045	66767
827	82140	66664
828	82245	66569
829	82337	66464
830	82428	66359
831	82527	66260
832	82629	66162
833	82722	66058
834	82835	65970
835	82933	65870
836	83029	65768
837	83128	65669
838	83237	65578
839	83347	65487
840	83437	65380
841	83526	65273
842	83613	65164
843	83707	65062
844	83793	64951
845	83878	64842
846	83983	64747
847	84083	64648
848	84156	64529
849	84255	64430
850	84336	64317
851	84435	64218
852	84542	64125
853	84637	64023
854	84747	63932
855	84854	63839
856	84948	63736
857	85050	63639
858	85142	63534
859	85237	63432
860	85326	63325
861	85402	63209
862	85497	63107
863	85578	62994
864	85661	62884
865	85756	62782
866	85844	62675
867	85940	62574
868	86042	62477
869	86115	62359
870	86221	62265
871	86320	62166
872	86419	62067
873	86522	61971
874	86615	61868
875	86724	61776
876	86820	61675
877	86930	61584
878	87034	61488
879	87133	61389
880	87213	61277
881	87310	61176
882	87418	61084
883	87527	60991
884	87636	60900
885	87737	60802
886	87834	60702
887	87941	60608
888	88046	60513
889	88153	60419
890	88252	60320
891	88357	60225
892	88462	60130
893	88550	60024
894	88646	59922
895	88735	59817
896	88876	59746
897	89013	59672
898	89140	59592
899	89248	59499
900	89369	59414
901	89497	59334
902	89618	59249
903	89744	59167
904	89839	59065
905	89941	58968
906	90030	58862
907	90123	58758
908	90217	58656
909	90316	58556
910	90408	58453
911	90492	58343
912	90589	58242
913	90666	58129
914	90756	58024
915	90845	57919
916	90948	57822
917	91023	57707
918	91124	57609
919	91223	57510
920	91308	57402
921	91420	57311
922	91532	57220
923	91643	57128
924	91729	57021
925	91818	56915
926	91905	56808
927	92008	56712
928	92101	56608
929	92205	56513
930	92289	56404
931	92405	56315
932	92510	56220
933	92600	56115
934	92704	56019
935	92802	55919
936	92893	55815
937	92982	55710
938	93089	55615
939	93200	55523
940	93299	55424
941	93402	55327
942	93505	55230
943	93607	55133
944	93694	55026
945	93800	54931
946	93890	54827
947	93983	54724
948	94088	54628
949	94183	54527
950	94278	54425
951	94371	54323
952	94491	54236
953	94588	54135
954	94681	54032
955	94771	53928
956	94862	53824
957	94964	53727
958	95050	53620
959	95138	53515
960	95229	53411
961	95327	53311
962	95407	53202
963	95498	53098
964	95588	52994
965	95678	52890
966	95770	52787
967	95858	52682
968	95962	52586
969	96056	52484
970	96149	52382
971	96257	52287
972	96355	52188
973	96444	52084
974	96532	51978
975	96620	51874
976	96714	51772
977	96804	51668
978	96908	51572
979	97000	51469
980	97096	51369
981	97183	51263
982	97283	51165
983	97390	51070
984	97467	50960
985	97559	50857
986	97655	50757
987	97762	50662
988	97846	50555
989	97932	50450
990	98028	50349
991	98123	50248
992	98217	50147
993	98312	50046
994	98401	49942
995	98496	49841
996	98582	49736
997	98688	49640
998	98779	49538
999	98877	49438
1000	98983	49343
1001	99077	49242
1002	99179	49144
1003	99343	49078
1004	99452	48984
1005	99554	48886
1006	99663	48792
1007	99754	48689
1008	99854	48591
1009	99936	48484
1010	100046	48390
1011	100145	48291
1012	100235	48188
1013	100332	48088
1014	100425	47986
1015	100522	47886
1016	100614	47784
1017	100706	47682
1018	100791	47576
1019	100886	47476
1020	100986	47377
1021	101084	47278
1022	101166	47171
1023	101259	47069
1024	101345	46964
1025	101431	46860
1026	101519	46756
1027	101591	46645
1028	101691	46546
1029	101791	46448
1030	101891	46350
1031	101988	46250
1032	102069	46143
1033	102160	46041
1034	102238	45933
1035	102327	45830
1036	102420	45728
1037	102529	45634
1038	102621	45532
1039	102726	45436
1040	102810	45331
1041	102908	45232
1042	103002	45131
1043	103114	45038
1044	103236	44949
1045	103321	44844
1046	103428	44749
1047	103515	44646
1048	103604	44543
1049	103707	44445
1050	103806	44347
1051	103898	44245
1052	103992	44144
1053	104088	44045
1054	104190	43947
1055	104288	43848
1056	104384	43748
1057	104476	43646
1058	104575	43548
1059	104663	43445
1060	104766	43348
